,All Rounder,Climber,Sprinter,Unclassed
All Rounder,1.0,0.5232594897610882,4.4823090847065265e-18,1.1273320877119894e-20
Climber,0.5232594897610882,1.0,5.871466698651521e-14,2.1582245960091796e-16
Sprinter,4.4823090847065265e-18,5.871466698651521e-14,1.0,1.0
Unclassed,1.1273320877119894e-20,2.1582245960091796e-16,1.0,1.0
