,All Rounder,Climber,Sprinter,Unclassed
All Rounder,1.0,0.17096588160916995,1.0,4.748891897708397e-09
Climber,0.17096588160916995,1.0,0.17660129505950442,0.0005200166930678283
Sprinter,1.0,0.17660129505950442,1.0,2.6760240592135755e-12
Unclassed,4.748891897708397e-09,0.0005200166930678283,2.6760240592135755e-12,1.0
