,All Rounder,Climber,Sprinter,Unclassed
All Rounder,1.0,1.0,4.1426467768063123e-17,1.1280490946318275e-20
Climber,1.0,1.0,4.682496494830872e-18,2.4104973698302822e-23
Sprinter,4.1426467768063123e-17,4.682496494830872e-18,1.0,1.0
Unclassed,1.1280490946318275e-20,2.4104973698302822e-23,1.0,1.0
